001,Author,lifetime, Title,Publication Year,Number of Pages,press,Questionnaires,Genre ID unclear,Extracted Book Name,delete duplicate
990022012440205171,"אביגור-רותם, גבריאלה ",1946- ,"חמסין וציפורים משוגעות /, מאת גבריאלה אביגור-רותם ; עריכה - יגאל שוורץ.",2001,375,קשת ,,,חמסין וציפורים משוגעות  ,
990041026800205171,"אביגור-רותם, גבריאלה ","1946- , ","מלך זהב ודם  מזיכרונותיו של ניקולאוס איש דמשק /, גבריאלה אביגור-רותם ; עורך הספר: יגאל שוורץ.",2017,"471 , 2  לא ממוספרים  ","כנרת, זמורה ביתן - מוציאים לאור ",,,מלך זהב ודם  מזיכרונותיו של ניקולאוס איש דמשק  ,
990017915110205171,"אבידור, דוד ",,"הביקור /, דוד אבידור.",1997,144,ניוטון ,,,הביקור  ,
990021719370205171,"אבידור, רויטל ",,"מציצה תל-אביבית /, רויטל אבידור.",2001,204,תמוז ,,,מציצה תל-אביבית  ,
990020510760205171,"אבידר-טשרנוביץ, ימימה ",1909-1998 ,"הבת  (ספורה של לילי רן) /, ימימה טשרנוביץ-אבידר.",1966,"127, 1   ",מסדה ,,,הבת  (ספורה של לילי רן)  ,
990023795530205171,"אבידר, אלון ",1959- ,"הלוחם השישים ואחד /, אלון אבידר.",2004,418,אוב - ז.ע.פ ,,,הלוחם השישים ואחד  ,
990038349620205171,"אבידר, אלי ","1964- , ","איקטוס  סיפורם של אזרח רומאי ועבד יהודי תחת שלטון האימפריה הרומית /, אלי אבידר ; עורכת הספר: עדנה שבתאי ; עורך לשוני: יצחק רפפורט.",2015,339,פראג הוצאה לאור ,,,איקטוס  סיפורם של אזרח רומאי ועבד יהודי תחת שלטון האימפריה הרומית  ,
990011833770205171,"אביו, שלמה ",1939- ,"זקיפי אהבה ונטיפים /, שלמה אביו.",1991,102,ספרית פועלים ,,,זקיפי אהבה ונטיפים  ,
990025876650205171,"אביחי, רועי ",,"ייסורים של אהבה  סיפור /, רועי אביחי.",2006,198,ר. אביחי ,,,ייסורים של אהבה  סיפור  ,
990034288550205171,"אביחי, רועי ",,"נגד הזרם  סיפור /, רועי אביחי, משה מעיין.",2011,371,"ר. אביחי, מ. שעיין ",,,נגד הזרם  סיפור  ,
990039549630205171,"אביטל-אפשטיין, גדעון , ",,"פלא פה נס /, גדעון אביטל-אפשטיין ; עריכה: יהודית רותם.",2016,383,כרמל ,,,פלא פה נס  ,
990043982580205171,"אביטל, צביה , ",,"הרוחות של שיח' ג'ראח /, צביה אביטל ; עריכה: עינת יקיר ; עריכה לשונית: נעם קצב.",2018,158,פרדס ,,,הרוחות של שיח ג''ראח  ,
990036198370205171,"אביטל, תומר ",1983- ,"המשכן  תעלומת רצח במסדרונות הכנסת /, תומר אביטל ; עורכת - מאיה פלדמן.",2013,336,עם עובד ,,,המשכן  תעלומת רצח במסדרונות הכנסת  ,
990044079820205171,"אביטן, סיגל , ",,"חשומה /, סיגל אביטן ; עורכת הספר: אביגיל קנטורוביץ'.",2018,"285 , 3  לא ממוספרים  ",מודן הוצאה לאור ,,,חשומה  ,
990010704740205171,"אבינדב, אריה ",,עד אור הבוקר  סיפור.,1966,190 .,נתיב ,,,עד אור הבוקר  סיפור.',
990010704730205171,"אבינדב, אריה ",,"כבלים בחופש  סיפור /, אריה אבינדב.",1963,403 .,א. ציוני ,,,כבלים בחופש  סיפור  ,
990010704870205171,"אבינעם, ראובן ",1905-1974 ,"אב ובתו  ספור /, ראובן גרוסמן =ראובן אבינעם.",1934,"237, 2 .",מצפה ,,,אב ובתו  ספור  ,
990035594810205171,"אבינר ופני, צבי ",,"כל שאר התביעות מוגזמות /, צבי אבינר ופני ; עורכת הספר - יערה שחורי.",2013,"266, 2   ",בבל  ,,,כל שאר התביעות מוגזמות  ,
990036752100205171,"אבירם, טובה , ",,"צרות קטנות /, טובה אבירם ; עורכת: לילי פרי.",2014,169,טוטם ,,,צרות קטנות  ,
990010706580205171,"אבישי, שאול ",1934- ,"קימורים בשרשרת  סיפור /, שאול אבישי.",1963,119,אוגדן ,,,קימורים בשרשרת  סיפור  ,
